Name,Year,tmdb_id,genres,release_year,director,runtime,countries
Little Women,2019,331482,"['Drama', 'Romance', 'History']",2019,Greta Gerwig,135,['US']
The Perks of Being a Wallflower,2012,84892,['Drama'],2012,Stephen Chbosky,103,['US']
Harry Potter and the Prisoner of Azkaban,2004,673,"['Adventure', 'Fantasy']",2004,Alfonso Cuarón,141,"['GB', 'US']"
Harry Potter and the Philosopher's Stone,2001,671,"['Adventure', 'Fantasy']",2001,Chris Columbus,152,"['GB', 'US']"
Harry Potter and the Goblet of Fire,2005,674,"['Adventure', 'Fantasy']",2005,Mike Newell,157,"['GB', 'US']"
Harry Potter and the Chamber of Secrets,2002,672,"['Adventure', 'Fantasy']",2002,Chris Columbus,161,"['GB', 'US', 'DE']"
Harry Potter and the Deathly Hallows: Part 2,2011,12445,"['Fantasy', 'Adventure']",2011,David Yates,130,"['GB', 'US']"
Harry Potter and the Order of the Phoenix,2007,675,"['Adventure', 'Fantasy']",2007,David Yates,138,"['GB', 'US']"
Harry Potter and the Half-Blood Prince,2009,767,"['Adventure', 'Fantasy']",2009,David Yates,153,"['GB', 'US']"
Harry Potter and the Deathly Hallows: Part 1,2010,12444,"['Adventure', 'Fantasy']",2010,David Yates,146,"['GB', 'US']"
Beauty and the Beast,2017,321612,"['Family', 'Fantasy', 'Romance']",2017,Bill Condon,129,['US']
The Bling Ring,2013,96936,"['Drama', 'Crime']",2013,Sofia Coppola,90,['US']
The Circle,2017,339988,"['Drama', 'Thriller', 'Science Fiction']",2017,James Ponsoldt,110,"['AE', 'US']"
Colonia,2015,318781,"['Drama', 'History']",2015,Florian Gallenberger,106,"['DE', 'FR', 'LU', 'GB']"
The Tale of Despereaux,2008,10199,"['Adventure', 'Animation', 'Family']",2008,Robert Stevenhagen,93,"['GB', 'US']"
Ballet Shoes,2007,20497,"['Drama', 'Family']",2008,Sandra Goldbacher,85,['GB']
May December,2023,839369,['Drama'],2023,Todd Haynes,117,['US']
Anyone But You,2023,1072790,"['Romance', 'Comedy']",2023,Will Gluck,103,['US']
Barbie,2023,346698,"['Comedy', 'Adventure']",2023,Greta Gerwig,114,"['GB', 'US']"
Bottoms,2023,814776,['Comedy'],2023,Emma Seligman,91,['US']
The Hunger Games: The Ballad of Songbirds & Snakes,2023,695721,"['Drama', 'Science Fiction', 'Adventure', 'Action']",2023,Francis Lawrence,157,"['DE', 'US']"
How to Lose a Guy in 10 Days,2003,9919,"['Comedy', 'Romance']",2003,Donald Petrie,116,['US']
10 Things I Hate About You,1999,4951,"['Comedy', 'Romance', 'Drama']",1999,Gil Junger,97,['US']
The Parent Trap,1998,9820,"['Comedy', 'Family', 'Romance']",1998,Nancy Meyers,128,['US']
Mean Girls,2004,10625,"['Drama', 'Comedy']",2004,Mark Waters,97,['US']
Freaky Friday,2003,10330,"['Family', 'Fantasy', 'Comedy']",2003,Mark Waters,96,['US']
Legally Blonde,2001,8835,"['Comedy', 'Romance']",2001,Robert Luketic,96,['US']
To All the Boys I've Loved Before,2018,466282,"['Comedy', 'Romance']",2018,Susan Johnson,100,['US']
Clueless,1995,9603,"['Comedy', 'Romance']",1995,Amy Heckerling,97,['US']
Serendipity,2001,9778,"['Comedy', 'Romance']",2001,Peter Chelsom,90,"['US', 'IN']"
The Polar Express,2004,5255,"['Animation', 'Adventure', 'Family', 'Fantasy']",2004,Robert Zemeckis,100,['US']
Pulp Fiction,1994,680,"['Thriller', 'Crime']",1994,Quentin Tarantino,154,['US']
Fight Club,1999,550,['Drama'],1999,David Fincher,139,"['DE', 'US']"
Titanic,1997,597,"['Drama', 'Romance']",1997,James Cameron,194,['US']
The Wizard of Oz,1939,630,"['Adventure', 'Fantasy', 'Family']",1939,Victor Fleming,102,['US']
Jojo Rabbit,2019,515001,"['Comedy', 'War', 'Drama']",2019,Taika Waititi,108,"['NZ', 'US']"
Back to the Future,1985,105,"['Adventure', 'Comedy', 'Science Fiction']",1985,Robert Zemeckis,116,['US']
Lady Bird,2017,391713,"['Drama', 'Comedy']",2017,Greta Gerwig,94,['US']
Nights and Weekends,2008,48204,"['Drama', 'Romance']",2008,Joe Swanberg,80,['US']
The Impossible,2012,80278,"['Drama', 'Thriller', 'History']",2012,J.A. Bayona,113,"['ES', 'US']"
Spider-Man: Into the Spider-Verse,2018,324857,"['Animation', 'Action', 'Adventure', 'Science Fiction']",2018,Bob Persichetti,117,['US']
Spider-Man: Across the Spider-Verse,2023,569094,"['Animation', 'Action', 'Adventure', 'Science Fiction']",2023,Justin K. Thompson,140,['US']
Spider-Man: Homecoming,2017,315635,"['Action', 'Adventure', 'Science Fiction', 'Drama']",2017,Jon Watts,133,['US']
Spider-Man: Far From Home,2019,429617,"['Action', 'Adventure', 'Science Fiction']",2019,Jon Watts,129,['US']
Spider-Man: No Way Home,2021,634649,"['Action', 'Adventure', 'Science Fiction']",2021,Jon Watts,148,['US']
Spider-Man,2002,557,"['Action', 'Science Fiction']",2002,Sam Raimi,121,['US']
Halloween,1978,948,"['Horror', 'Thriller']",1978,John Carpenter,91,['US']
Halloween,2018,948,"['Horror', 'Thriller']",1978,John Carpenter,91,['US']
Halloween Kills,2021,610253,"['Horror', 'Thriller']",2021,David Gordon Green,105,['US']
Halloween Ends,2022,616820,"['Horror', 'Thriller']",2022,David Gordon Green,111,['US']
Thanksgiving,2023,1071215,"['Horror', 'Mystery']",2023,Eli Roth,106,['US']
The Texas Chain Saw Massacre,1974,30497,['Horror'],1974,Tobe Hooper,83,['US']
